production_run_id,production_date,product_id,quantity_produced,direct_labor_hours,waste_quantity_produced,waste_reason
PR01085,2023-07-20,P036,372,64.31,33,Production Error
PR01086,2024-02-16,P068,405,107.14,16,Production Error
PR01087,2023-07-10,P086,416,158.35,0,None
PR01088,2023-03-20,P065,435,149.33,0,None
PR01089,2024-04-17,P001,485,173.6,0,None
PR01090,2024-10-15,P088,213,21.87,0,None
PR01091,2023-08-13,P035,472,130.83,0,None
PR01092,2023-07-17,P090,416,149.67,36,Production Error
PR01093,2023-05-30,P091,141,25.83,12,Overproduction
PR01094,2024-07-09,P050,237,70.13,0,None
PR01095,2024-04-12,P068,304,131.31,15,Overproduction
PR01096,2023-02-03,P047,184,57.89,0,None
PR01097,2024-10-10,P036,252,41.8,0,None
PR01098,2023-03-17,P067,148,42.32,0,None
PR01099,2024-05-09,P047,260,101.87,9,Defective Material
PR01100,2024-08-13,P076,308,76.85,0,None
PR01101,2024-01-05,P028,228,27.74,0,None
PR01102,2023-09-05,P088,80,18.49,0,None
PR01103,2024-12-10,P025,60,6.03,0,None
PR01104,2023-01-28,P020,181,61.35,0,None
PR01105,2024-12-02,P018,246,117.19,0,None
PR01106,2023-09-25,P075,73,21.62,0,None
PR01107,2024-04-25,P033,202,56.63,0,None
PR01108,2024-06-15,P008,264,113.35,0,None
PR01109,2024-11-21,P079,284,124.1,0,None
PR01110,2024-05-27,P011,264,41.06,0,None
PR01111,2024-09-08,P045,200,76.07,0,None
PR01112,2023-07-24,P074,295,89.92,0,None
PR01113,2023-12-28,P016,498,117.83,0,None
PR01114,2023-11-27,P023,170,24.58,0,None
PR01115,2023-01-09,P078,218,93.55,0,None
PR01116,2023-09-17,P005,132,42.12,0,None
PR01117,2023-01-10,P078,362,103.86,0,None
PR01118,2024-04-08,P088,372,83.4,0,None
PR01119,2023-03-19,P003,261,92.17,23,Spoilage
PR01120,2023-12-25,P094,493,179.19,0,None
PR01121,2024-08-02,P033,369,128.58,23,Production Error
PR01122,2024-10-28,P028,161,63.43,0,None
PR01123,2024-06-11,P014,174,57.2,2,Spoilage
PR01124,2023-08-25,P009,142,69.72,0,None
PR01125,2023-03-14,P100,102,27.87,0,None
PR01126,2024-07-17,P100,224,92.22,0,None
PR01127,2023-12-24,P028,499,168.47,0,None
PR01128,2023-02-06,P071,172,52.3,0,None
PR01129,2024-03-25,P037,194,75.74,0,None
PR01130,2023-04-19,P020,141,64.89,0,None
PR01131,2024-04-17,P079,103,14.78,0,None
PR01132,2023-05-16,P052,126,22.57,0,None
PR01133,2023-05-18,P097,209,50.13,0,None
PR01134,2023-05-14,P098,237,84.63,0,None
PR01135,2024-08-11,P058,98,39.95,0,None
PR01136,2024-12-24,P055,72,29.05,0,None
PR01137,2023-10-24,P013,52,12.46,0,None
PR01138,2024-10-25,P079,345,113.92,0,None
PR01139,2024-06-04,P001,411,115.92,0,None
PR01140,2023-01-01,P093,399,57.71,0,None
PR01141,2023-01-12,P095,261,49.76,0,None
PR01142,2024-02-26,P051,187,21.59,0,None
PR01143,2023-07-17,P074,82,9.89,0,None
PR01144,2024-10-01,P050,433,145.53,0,None
PR01145,2024-08-25,P040,388,106.95,0,None
PR01146,2024-09-30,P018,474,166.87,0,None
PR01147,2024-08-12,P009,197,47.34,0,None
PR01148,2023-08-24,P027,403,55.33,0,None
PR01149,2023-01-23,P099,168,19.97,3,Defective Material
PR01150,2024-09-11,P036,308,83.48,0,None
PR01151,2024-06-05,P086,54,26.46,0,None
PR01152,2023-07-12,P069,78,30.38,0,None
PR01153,2023-01-31,P077,435,177.36,27,Production Error
PR01154,2024-08-11,P082,423,91.43,0,None
PR01155,2024-10-25,P003,103,48.29,0,None
PR01156,2024-10-13,P005,105,27.18,1,Overproduction
PR01157,2023-11-16,P053,345,64.99,0,None
PR01158,2023-09-12,P066,258,103.98,0,None
PR01159,2023-04-06,P046,346,107.83,0,None
PR01160,2024-04-17,P081,97,30.69,0,None
PR01161,2024-05-22,P031,117,29.95,0,None
PR01162,2024-05-09,P010,427,191.3,0,None
PR01163,2024-08-29,P099,156,16.59,0,None
PR01164,2023-05-09,P055,107,15.42,0,None
PR01165,2023-04-07,P038,408,71.29,0,None
PR01166,2024-05-15,P020,318,88.1,13,Production Error
PR01167,2024-08-23,P047,153,40.19,14,Production Error
PR01168,2023-03-07,P096,70,29.69,0,None
PR01169,2024-10-12,P080,342,156.17,0,None
PR01170,2023-02-28,P015,59,18.18,0,None
PR01171,2023-12-26,P031,77,8.85,0,None
PR01172,2024-04-14,P083,343,164.64,0,None
PR01173,2024-10-06,P067,359,171.09,1,Spoilage
PR01174,2024-06-19,P095,280,40.32,0,None
PR01175,2023-07-29,P089,286,94.46,0,None
PR01176,2023-09-20,P099,289,39.73,0,None
PR01177,2024-08-07,P028,67,13.66,0,None
PR01178,2023-05-06,P070,55,25.34,0,None
PR01179,2023-08-20,P072,481,141.36,0,None
PR01180,2023-01-19,P095,179,41.68,0,None
PR01181,2023-10-11,P092,277,50.93,25,Production Error
PR01182,2024-12-16,P038,321,142.03,0,None
PR01183,2023-04-15,P012,98,13.38,8,Spoilage
PR01184,2023-04-25,P040,330,140.13,0,None
PR01185,2023-02-26,P073,349,153.69,0,None
PR01186,2023-10-09,P092,316,127.09,0,None
PR01187,2024-01-27,P093,483,87.01,13,Defective Material
PR01188,2024-01-13,P038,431,123.08,0,None
PR01189,2024-06-05,P076,363,74.62,0,None
PR01190,2024-06-15,P061,185,79.04,0,None
PR01191,2024-02-21,P048,299,64.51,0,None
PR01192,2023-09-06,P077,434,133.2,0,None
PR01193,2023-07-23,P089,83,35.11,7,Overproduction
PR01194,2024-05-24,P047,150,71.9,5,Overproduction
PR01195,2023-12-16,P025,176,81.72,0,None
PR01196,2023-03-05,P081,245,29.61,0,None
PR01197,2023-08-27,P063,220,93.06,0,None
PR01198,2024-05-22,P067,479,95.3,0,None
PR01199,2023-12-25,P009,139,45.05,12,Spoilage
PR01200,2023-04-17,P047,144,66.21,0,None
PR01201,2024-05-15,P013,302,53.64,0,None
PR01202,2023-02-09,P082,147,24.66,0,None
PR01203,2024-10-02,P003,228,97.27,0,None
PR01204,2024-12-11,P031,440,159.46,0,None
PR01205,2023-08-23,P076,493,215.84,0,None
PR01206,2023-03-09,P017,267,103.67,22,Spoilage
PR01207,2024-09-26,P074,234,99.86,0,None
PR01208,2024-07-21,P055,159,46.79,11,Production Error
PR01209,2023-08-21,P004,315,66.19,0,None
PR01210,2023-06-07,P098,351,36.87,0,None
PR01211,2023-03-07,P097,421,175.05,0,None
PR01212,2024-04-26,P073,238,34.48,0,None
PR01213,2023-08-09,P094,285,40.22,0,None
PR01214,2024-06-09,P048,443,171.52,0,None
PR01215,2024-12-11,P051,457,198.88,0,None
PR01216,2024-12-17,P040,56,8.77,0,None
PR01217,2024-05-05,P098,391,193.24,0,None
PR01218,2024-11-13,P020,302,45.47,0,None
PR01219,2023-11-27,P025,114,49.16,9,Production Error
PR01220,2023-02-01,P050,279,88.3,22,Overproduction
PR01221,2023-06-27,P059,102,28.91,8,Production Error
PR01222,2023-10-13,P008,275,130.17,0,None
PR01223,2023-07-18,P014,443,127.4,0,None
PR01224,2023-03-21,P060,288,28.83,15,Overproduction
PR01225,2023-04-02,P090,173,27.31,0,None
PR01226,2024-10-15,P028,131,16.01,0,None
PR01227,2024-03-24,P050,287,107.94,0,None
PR01228,2023-01-21,P055,311,35.06,0,None
PR01229,2024-04-06,P032,144,16.57,0,None
PR01230,2023-04-17,P080,110,15.46,5,Defective Material
PR01231,2023-10-05,P095,224,24.56,0,None
PR01232,2023-10-10,P007,296,141.16,0,None
PR01233,2024-08-04,P032,460,221.83,0,None
PR01234,2023-02-06,P043,208,59.9,0,None
PR01235,2023-09-10,P068,65,29.16,3,Spoilage
PR01236,2023-01-28,P062,273,106.28,0,None
PR01237,2023-04-17,P084,499,241.49,10,Defective Material
PR01238,2024-05-11,P032,100,46.82,0,None
PR01239,2023-07-03,P057,493,88.03,0,None
PR01240,2024-11-03,P010,310,89.79,0,None
PR01241,2023-11-11,P041,442,212.84,0,None
PR01242,2024-12-17,P074,301,57.88,0,None
PR01243,2024-07-12,P011,294,88.98,0,None
PR01244,2024-03-11,P096,187,42.88,0,None
PR01245,2023-04-29,P032,306,93.28,3,Spoilage
PR01246,2023-08-28,P082,70,14.19,0,None
PR01247,2024-12-19,P068,58,11.79,0,None
PR01248,2024-03-09,P069,95,45.22,0,None
PR01249,2024-09-01,P015,54,20.28,3,Defective Material
PR01250,2023-11-12,P087,86,15.73,0,None
PR01251,2023-07-21,P068,159,38.11,0,None
PR01252,2023-05-06,P027,360,125.77,0,None
PR01253,2023-05-21,P051,238,46.35,0,None
PR01254,2024-11-17,P099,413,118.48,0,None
PR01255,2024-04-08,P034,89,24.38,5,Defective Material
PR01256,2024-12-06,P083,205,93.25,0,None
PR01257,2023-07-31,P050,476,205.35,0,None
PR01258,2023-04-22,P031,109,13.11,0,None
PR01259,2024-09-19,P018,222,88.53,0,None
PR01260,2023-12-14,P045,294,41.24,0,None
PR01261,2024-07-20,P094,223,67.2,0,None
PR01262,2023-09-14,P053,477,233.68,0,None
PR01263,2023-01-17,P061,215,95.01,0,None
PR01264,2024-04-15,P055,364,143.88,0,None
PR01265,2024-02-16,P008,486,136.35,14,Spoilage
PR01266,2024-09-10,P025,375,151.84,9,Overproduction
PR01267,2023-08-30,P071,198,35.73,0,None
PR01268,2024-12-06,P043,151,56.69,0,None
PR01269,2023-11-07,P089,497,164.29,0,None
PR01270,2024-05-05,P091,389,164.31,0,None
PR01271,2024-04-20,P047,210,73.18,0,None
PR01272,2024-07-21,P001,344,101.97,0,None
PR01273,2024-02-16,P019,283,30.19,0,None
PR01274,2023-08-15,P094,107,39.18,0,None
PR01275,2024-11-04,P019,54,6.22,0,None
PR01276,2023-06-13,P058,256,78.7,0,None
PR01277,2023-04-18,P012,378,81.8,0,None
PR01278,2023-09-15,P066,168,52.7,0,None
PR01279,2023-08-13,P046,124,30.98,0,None
PR01280,2024-01-04,P077,70,24.33,0,None
PR01281,2024-05-24,P009,111,31.05,0,None
PR01282,2023-10-08,P049,228,102.9,0,None
PR01283,2023-02-07,P078,437,205.5,0,None
PR01284,2024-07-01,P062,175,52.16,16,Overproduction
PR01285,2024-03-23,P035,178,48.7,0,None
PR01286,2024-08-15,P087,229,62.72,0,None
PR01287,2023-04-26,P056,114,30.33,3,Overproduction
PR01288,2024-12-27,P062,145,15.97,0,None
PR01289,2023-09-13,P063,239,47.45,0,None
PR01290,2023-09-06,P015,260,87.46,0,None
PR01291,2024-01-05,P060,357,41.46,0,None
PR01292,2023-03-05,P041,328,134.29,0,None
PR01293,2024-04-04,P093,405,134.86,31,Defective Material
PR01294,2023-10-11,P009,439,115.31,0,None
PR01295,2023-06-20,P029,121,40.1,0,None
PR01296,2024-01-01,P072,331,95.33,0,None
PR01297,2023-06-16,P088,156,28.48,0,None
PR01298,2023-08-19,P051,97,23.59,0,None
PR01299,2023-06-11,P052,271,44.26,0,None
PR01300,2024-10-26,P054,269,116.51,0,None
PR01301,2024-12-20,P042,352,162.89,0,None
PR01302,2024-05-17,P019,103,11.41,0,None
PR01303,2024-04-30,P033,469,230.71,0,None
PR01304,2024-06-18,P018,426,57.52,0,None
PR01305,2023-08-19,P030,294,30.24,1,Production Error
PR01306,2024-11-08,P010,428,104.15,0,None
PR01307,2023-09-28,P061,114,24.2,0,None
PR01308,2024-07-20,P072,426,203.14,0,None
PR01309,2023-05-06,P048,125,36.25,0,None
PR01310,2023-09-27,P004,71,11.36,0,None
PR01311,2024-06-17,P001,346,96.16,0,None
PR01312,2023-10-04,P038,68,13.01,5,Spoilage
PR01313,2023-04-06,P031,140,24.76,0,None
PR01314,2023-05-03,P062,263,40.63,0,None
PR01315,2023-03-13,P021,103,30.93,0,None
PR01316,2024-10-01,P021,112,42.05,0,None
PR01317,2023-02-28,P030,313,100.14,30,Overproduction
PR01318,2023-09-17,P023,311,48.62,0,None
PR01319,2023-04-16,P025,256,87.88,0,None
PR01320,2023-10-12,P032,320,104.36,0,None
PR01321,2023-06-25,P001,358,40.72,0,None
PR01322,2023-02-13,P098,236,83.13,0,None
PR01323,2023-03-17,P084,151,64.36,0,None
PR01324,2024-01-25,P085,358,173.23,0,None
PR01325,2024-07-21,P099,199,35.31,0,None
PR01326,2024-08-24,P051,380,111.68,0,None
PR01327,2024-07-13,P009,277,102.78,0,None
PR01328,2023-10-05,P043,459,103.96,8,Defective Material
PR01329,2023-11-10,P028,479,166.96,0,None
PR01330,2024-03-31,P001,250,68.57,0,None
PR01331,2024-05-04,P094,234,110.69,0,None
PR01332,2024-01-07,P047,110,20.82,0,None
PR01333,2023-12-29,P025,175,60.1,0,None
PR01334,2023-10-05,P057,313,87.89,0,None
PR01335,2024-01-12,P044,299,84.31,0,None
PR01336,2024-10-24,P049,107,37.33,6,Defective Material
PR01337,2023-11-01,P004,130,19.79,0,None
PR01338,2023-11-06,P073,134,24.71,0,None
PR01339,2024-03-05,P043,266,86.89,0,None
PR01340,2023-06-29,P083,207,95.09,0,None
PR01341,2023-12-31,P005,479,194.34,0,None
PR01342,2023-10-12,P001,444,168.21,25,Defective Material
PR01343,2023-05-16,P094,458,140.05,25,Spoilage
PR01344,2023-08-11,P092,183,34.27,1,Overproduction
PR01345,2023-09-08,P059,249,27.5,0,None
PR01346,2023-07-04,P047,338,95.59,26,Spoilage
PR01347,2024-08-11,P030,363,156.34,0,None
PR01348,2023-08-08,P078,168,34.42,0,None
PR01349,2024-07-15,P006,457,110.76,42,Production Error
PR01350,2024-02-27,P064,491,86.92,0,None
PR01351,2024-05-26,P098,193,38.11,0,None
PR01352,2024-04-29,P068,256,96.17,0,None
PR01353,2024-09-19,P052,362,57.95,0,None
PR01354,2024-01-14,P020,377,165.35,0,None
PR01355,2024-02-19,P019,240,40.47,0,None
PR01356,2024-03-03,P051,258,78.1,16,Defective Material
PR01357,2023-08-17,P090,489,151.01,0,None
PR01358,2023-02-05,P066,334,47.8,0,None
PR01359,2024-08-31,P045,348,49.83,0,None
PR01360,2024-11-04,P014,208,84.92,0,None
PR01361,2024-05-04,P024,118,21.17,0,None
PR01362,2023-04-09,P033,161,27.72,0,None
PR01363,2024-09-25,P032,228,69.52,6,Production Error
PR01364,2024-02-13,P016,163,63.16,0,None
PR01365,2023-12-29,P022,229,28.98,18,Overproduction
PR01366,2024-08-18,P054,426,172.76,0,None
PR01367,2023-10-02,P062,154,38.94,0,None
PR01368,2024-03-01,P088,121,42.01,0,None
PR01369,2023-05-11,P063,301,145.49,0,None
PR01370,2024-12-25,P012,303,32.73,29,Production Error
PR01371,2023-08-02,P049,364,174.8,0,None
PR01372,2023-07-26,P017,103,31.46,0,None
PR01373,2023-05-21,P033,252,52.22,0,None
PR01374,2024-01-01,P085,224,104.11,0,None
PR01375,2024-10-08,P065,297,128.91,0,None
PR01376,2023-06-03,P030,362,89.55,0,None
PR01377,2024-10-28,P069,204,28.78,0,None
PR01378,2023-01-27,P084,243,78.17,0,None
PR01379,2024-01-20,P074,190,59.87,3,Production Error
PR01380,2023-07-20,P026,409,71.41,0,None
PR01381,2024-08-26,P081,220,41.29,0,None
PR01382,2023-12-01,P097,110,24.6,0,None
PR01383,2023-04-13,P096,182,49.29,0,None
PR01384,2024-07-19,P095,283,95.93,13,Overproduction
PR01385,2023-10-14,P076,60,11.47,0,None
PR01386,2024-08-28,P065,264,75.12,0,None
PR01387,2024-01-18,P048,447,68.45,0,None
PR01388,2024-04-23,P057,430,199.86,0,None
PR01389,2023-08-07,P018,191,20.47,15,Production Error
PR01390,2024-05-21,P051,320,147.41,0,None
PR01391,2024-09-20,P018,374,69.13,0,None
PR01392,2023-09-15,P025,197,71.82,0,None
PR01393,2024-01-29,P028,267,84.53,0,None
PR01394,2024-08-25,P010,277,93.99,0,None
PR01395,2023-09-27,P041,196,71.42,0,None
PR01396,2024-07-14,P034,455,144.9,0,None
PR01397,2024-06-24,P065,477,90.82,0,None
PR01398,2023-05-20,P063,284,126.54,0,None
PR01399,2023-11-16,P067,220,84.2,0,None
PR01400,2023-10-19,P039,440,55.75,23,Production Error
PR01401,2023-06-10,P059,321,102.8,0,None
PR01402,2024-01-02,P066,169,47.35,0,None
PR01403,2023-06-27,P046,390,184.02,0,None
PR01404,2024-08-27,P062,121,17.58,0,None
PR01405,2024-10-17,P046,282,76.76,12,Spoilage
PR01406,2024-11-13,P086,186,31.8,0,None
PR01407,2024-07-04,P015,124,42.53,0,None
PR01408,2023-12-22,P079,83,21.0,0,None
PR01409,2024-04-12,P096,146,32.14,0,None
PR01410,2024-11-07,P026,158,24.41,0,None
PR01411,2023-08-12,P057,194,83.99,0,None
PR01412,2024-09-08,P054,405,67.15,0,None
PR01413,2023-11-17,P051,362,67.9,0,None
PR01414,2023-03-25,P073,274,62.37,0,None
PR01415,2024-11-08,P027,121,20.39,2,Spoilage
PR01416,2024-01-04,P024,403,69.77,0,None
PR01417,2024-11-23,P013,319,133.03,0,None
PR01418,2023-02-25,P035,423,54.11,0,None
PR01419,2024-10-20,P016,134,28.45,0,None
PR01420,2024-06-30,P060,390,136.02,0,None
PR01421,2024-07-08,P009,377,99.24,0,None
PR01422,2024-01-18,P020,246,70.19,0,None
PR01423,2023-12-08,P088,334,165.85,0,None
PR01424,2024-08-17,P057,262,49.07,0,None
PR01425,2024-01-18,P045,498,175.67,22,Spoilage
PR01426,2024-01-23,P071,229,80.68,2,Spoilage
PR01427,2024-04-06,P066,279,45.37,0,None
PR01428,2023-04-25,P046,244,91.05,0,None
PR01429,2024-05-02,P068,173,85.07,0,None
PR01430,2023-06-05,P012,259,42.81,10,Overproduction
PR01431,2024-08-13,P029,197,96.46,0,None
PR01432,2024-11-10,P075,143,44.74,0,None
PR01433,2023-10-16,P046,371,50.0,0,None
PR01434,2023-08-20,P068,144,38.83,0,None
PR01435,2024-04-05,P045,364,37.61,0,None
PR01436,2024-04-27,P040,272,105.63,0,None
PR01437,2024-05-26,P018,372,95.52,0,None
PR01438,2023-07-26,P077,328,106.29,0,None
PR01439,2024-05-19,P007,253,34.49,0,None
PR01440,2024-10-09,P085,221,78.48,14,Defective Material
PR01441,2024-06-04,P005,165,71.65,0,None
PR01442,2023-06-27,P017,265,92.98,0,None
PR01443,2023-04-08,P092,196,97.57,0,None
PR01444,2023-09-30,P082,290,56.04,0,None
PR01445,2023-12-08,P019,258,83.91,0,None
PR01446,2024-11-01,P025,428,142.28,14,Production Error
PR01447,2023-10-23,P086,163,18.01,0,None
PR01448,2023-05-17,P074,327,53.09,0,None
PR01449,2023-01-21,P004,478,192.79,0,None
PR01450,2024-09-09,P065,473,88.43,20,Production Error
PR01451,2024-09-07,P036,59,24.77,0,None
PR01452,2023-12-11,P028,147,66.88,11,Overproduction
PR01453,2023-08-23,P069,310,78.65,0,None
PR01454,2024-01-22,P070,421,190.38,0,None
PR01455,2024-11-16,P069,86,20.0,5,Defective Material
PR01456,2023-01-21,P006,120,46.06,0,None
PR01457,2023-04-12,P080,356,159.6,0,None
PR01458,2024-12-22,P014,460,58.2,0,None
PR01459,2023-06-29,P097,74,21.57,0,None
PR01460,2024-03-06,P001,487,59.2,41,Defective Material
PR01461,2023-02-18,P035,173,64.31,0,None
PR01462,2024-02-04,P052,84,16.61,3,Overproduction
PR01463,2024-01-30,P011,359,137.23,0,None
PR01464,2023-08-02,P032,444,47.82,0,None
PR01465,2024-08-24,P009,321,100.24,0,None
PR01466,2023-05-07,P037,133,60.89,0,None
PR01467,2024-10-27,P016,101,26.68,0,None
PR01468,2023-07-22,P047,343,137.25,0,None
PR01469,2023-08-25,P023,308,148.54,18,Defective Material
PR01470,2023-01-14,P068,254,40.82,0,None
PR01471,2023-09-09,P050,332,40.93,0,None
PR01472,2024-04-16,P047,440,107.58,41,Overproduction
PR01473,2024-10-24,P027,163,36.84,0,None
PR01474,2024-12-09,P083,389,122.76,6,Defective Material
PR01475,2023-11-17,P005,231,48.63,0,None
PR01476,2024-12-24,P041,319,50.26,0,None
PR01477,2024-11-26,P031,457,155.32,0,None
PR01478,2023-02-12,P050,261,75.78,0,None
PR01479,2023-12-21,P085,288,44.73,0,None
PR01480,2024-07-23,P026,270,32.33,0,None
PR01481,2023-11-01,P014,210,76.5,0,None
PR01482,2024-09-21,P036,273,132.55,14,Defective Material
PR01483,2023-12-09,P009,307,37.79,0,None
PR01484,2023-03-19,P001,477,65.77,0,None
PR01485,2023-09-16,P095,486,203.03,0,None
PR01486,2024-02-15,P056,266,120.97,0,None
PR01487,2024-09-09,P097,263,121.32,0,None
PR01488,2023-10-13,P086,342,90.83,0,None
PR01489,2024-06-13,P068,67,16.99,0,None
PR01490,2023-02-16,P021,414,179.75,0,None
PR01491,2023-07-08,P096,468,152.2,0,None
PR01492,2024-12-06,P078,281,134.91,0,None
PR01493,2023-09-04,P097,467,113.05,0,None
PR01494,2024-09-06,P074,344,126.64,0,None
PR01495,2023-07-18,P077,399,158.02,0,None
PR01496,2024-09-02,P076,171,38.94,0,None
PR01497,2024-11-12,P053,399,193.19,19,Overproduction
PR01498,2024-12-31,P020,397,190.06,0,None
PR01499,2024-02-14,P011,409,61.59,0,None
PR01500,2024-08-08,P067,270,77.33,0,None
PR01501,2023-04-22,P089,245,67.77,0,None
PR01502,2024-10-30,P062,457,98.13,0,None
PR01503,2023-03-04,P056,254,73.39,0,None
PR01504,2024-02-11,P090,417,55.2,0,None
PR01505,2024-08-19,P003,348,48.61,0,None
PR01506,2024-03-07,P100,96,37.85,0,None
PR01507,2023-04-26,P071,295,47.83,0,None
PR01508,2024-09-04,P034,342,75.26,0,None
PR01509,2024-09-03,P004,52,21.27,0,None
PR01510,2024-04-23,P071,486,219.84,0,None
PR01511,2024-01-21,P039,112,25.4,0,None
PR01512,2023-04-30,P066,388,94.43,27,Defective Material
PR01513,2024-06-16,P090,393,41.81,0,None
PR01514,2024-09-19,P008,286,72.37,0,None
PR01515,2023-09-21,P067,316,49.01,0,None
PR01516,2024-04-18,P004,199,76.0,0,None
PR01517,2024-07-16,P040,369,160.11,0,None
PR01518,2024-09-15,P056,488,74.58,0,None
PR01519,2024-03-31,P099,269,58.86,0,None
PR01520,2024-08-11,P065,250,68.48,0,None
PR01521,2024-01-15,P062,487,140.83,0,None
PR01522,2024-06-26,P009,74,36.56,0,None
PR01523,2023-05-26,P092,282,134.11,0,None
PR01524,2024-07-17,P013,418,114.99,0,None
PR01525,2023-02-15,P061,282,54.19,0,None
PR01526,2024-02-08,P061,89,43.26,0,None
PR01527,2024-07-24,P054,106,16.19,7,Defective Material
PR01528,2024-02-16,P083,339,149.44,0,None
PR01529,2023-02-06,P013,341,144.53,0,None
PR01530,2024-01-03,P034,172,46.83,0,None
PR01531,2024-02-26,P075,340,100.16,0,None
PR01532,2024-10-26,P019,133,14.42,0,None
PR01533,2023-04-14,P005,368,72.9,0,None
PR01534,2023-02-24,P088,217,27.96,12,Overproduction
PR01535,2024-02-24,P089,220,102.54,5,Production Error
PR01536,2024-07-30,P068,153,53.02,0,None
PR01537,2023-02-25,P029,318,64.25,0,None
PR01538,2024-11-03,P037,332,97.43,18,Spoilage
PR01539,2024-08-19,P023,424,195.52,24,Overproduction
PR01540,2023-10-09,P003,318,45.29,0,None
PR01541,2024-10-30,P068,374,136.75,13,Spoilage
PR01542,2024-05-04,P065,128,44.88,0,None
PR01543,2023-10-26,P053,415,56.58,0,None
PR01544,2023-01-16,P011,471,110.25,0,None
PR01545,2023-12-05,P052,261,117.08,0,None
PR01546,2023-04-12,P083,157,51.72,10,Production Error
PR01547,2023-05-09,P001,289,64.44,0,None
PR01548,2024-08-01,P097,253,91.33,5,Overproduction
PR01549,2023-01-22,P084,227,102.46,0,None
PR01550,2024-03-28,P088,151,46.18,0,None
PR01551,2023-07-24,P006,88,40.19,0,None
PR01552,2023-12-26,P096,299,73.02,0,None
PR01553,2023-03-27,P018,294,68.07,0,None
PR01554,2023-10-01,P094,470,50.6,25,Defective Material
PR01555,2023-02-06,P083,411,73.09,0,None
PR01556,2023-09-26,P042,179,42.39,0,None
PR01557,2023-06-19,P043,455,191.07,4,Overproduction
PR01558,2024-09-24,P006,280,32.23,0,None
PR01559,2024-08-04,P015,439,56.54,0,None
PR01560,2023-04-08,P016,380,187.88,0,None
PR01561,2024-02-01,P097,323,78.85,0,None
PR01562,2023-12-07,P088,404,103.45,31,Production Error
PR01563,2024-05-23,P036,278,96.65,0,None
PR01564,2023-02-21,P002,90,13.38,0,None
PR01565,2023-08-02,P031,349,118.33,5,Overproduction
PR01566,2024-08-22,P060,187,91.73,9,Spoilage
PR01567,2024-10-24,P044,401,170.17,33,Production Error
PR01568,2023-07-06,P040,286,66.78,0,None
PR01569,2023-02-06,P045,157,56.38,0,None
PR01570,2023-10-27,P061,133,56.84,4,Production Error
PR01571,2024-06-11,P019,184,32.69,0,None
PR01572,2023-07-14,P025,387,127.34,0,None
PR01573,2024-05-26,P020,130,38.47,0,None
PR01574,2024-05-13,P064,444,163.18,0,None
PR01575,2023-07-31,P009,66,31.51,0,None
PR01576,2024-09-21,P032,176,78.93,0,None
PR01577,2024-11-08,P073,289,56.79,0,None
PR01578,2023-01-21,P019,68,14.04,0,None
PR01579,2024-03-17,P014,229,100.12,0,None
PR01580,2024-02-22,P060,316,102.98,0,None
PR01581,2023-09-10,P050,484,97.85,0,None
PR01582,2023-03-12,P076,97,11.36,0,None
PR01583,2024-04-22,P022,414,50.33,10,Overproduction
PR01584,2024-09-17,P084,233,33.77,0,None
PR01585,2023-02-05,P026,226,83.85,0,None
PR01586,2023-07-25,P034,474,99.91,0,None
PR01587,2023-02-24,P050,154,18.0,12,Defective Material
PR01588,2023-09-06,P021,202,64.35,1,Production Error
PR01589,2023-07-28,P089,159,39.38,0,None
PR01590,2023-05-23,P059,358,50.22,0,None
PR01591,2024-09-09,P059,413,142.26,0,None
PR01592,2023-08-25,P001,102,26.03,0,None
PR01593,2023-06-07,P002,171,18.81,1,Overproduction
PR01594,2024-11-23,P053,393,93.18,36,Spoilage
PR01595,2024-10-27,P036,310,108.37,0,None
PR01596,2023-08-02,P100,281,75.99,0,None
PR01597,2024-06-11,P077,99,26.79,0,None
PR01598,2023-06-09,P006,344,54.09,0,None
PR01599,2024-08-04,P052,215,38.84,7,Overproduction
PR01600,2023-08-13,P082,282,37.31,0,None
PR01601,2023-10-21,P012,240,48.82,0,None
PR01602,2023-11-25,P043,299,74.97,0,None
PR01603,2024-05-13,P097,255,84.9,5,Spoilage
PR01604,2023-03-17,P060,240,74.23,0,None
PR01605,2024-06-05,P005,414,169.75,0,None
PR01606,2023-12-26,P068,172,51.05,0,None
PR01607,2024-09-02,P031,444,174.77,0,None
PR01608,2023-12-25,P055,92,38.33,0,None
PR01609,2024-12-11,P076,347,72.32,0,None
PR01610,2024-11-18,P051,440,162.69,0,None
PR01611,2023-04-24,P079,360,150.94,0,None
PR01612,2023-08-25,P077,496,79.89,0,None
PR01613,2023-07-04,P100,459,127.38,0,None
PR01614,2023-07-08,P061,180,29.28,0,None
PR01615,2024-02-20,P083,250,124.73,0,None
PR01616,2024-11-21,P079,322,77.79,0,None
PR01617,2024-06-13,P002,485,163.75,0,None
PR01618,2024-04-22,P009,459,110.66,0,None
PR01619,2023-09-17,P099,259,80.28,20,Production Error
PR01620,2024-07-14,P100,227,26.24,21,Spoilage
PR01621,2023-06-14,P045,323,45.74,0,None
PR01622,2024-07-04,P011,106,45.86,0,None
PR01623,2024-12-12,P041,259,26.79,17,Production Error
PR01624,2023-10-11,P082,139,59.39,0,None
PR01625,2023-06-02,P002,236,99.42,0,None
PR01626,2023-08-31,P051,114,52.12,0,None
PR01627,2023-12-31,P049,87,41.06,0,None
